t_rel_s,raw_x,raw_y,raw_z,dx,dy,dz,stick_mag,target_x,target_y,target_z,tcp_x,tcp_y,tcp_z,tcp_vx,tcp_vy,tcp_vz,tcp_speed,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5
0.000010,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192022,-0.480787,0.162656,0.000000,0.000000,0.000000,0.000000,0.847740,-1.404487,2.490663,3.626239,4.712395,2.418522,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.020069,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192040,-0.480801,0.162655,0.000000,0.000000,0.000000,0.000000,0.847724,-1.404459,2.490630,3.626242,4.712428,2.418518,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.040122,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192037,-0.480797,0.162664,0.000000,0.000000,0.000000,0.000000,0.847736,-1.404483,2.490634,3.626251,4.712371,2.418486,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.060176,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192000,-0.480778,0.162649,0.000000,0.000000,0.000000,0.000000,0.847756,-1.404495,2.490695,3.626226,4.712420,2.418542,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.080231,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192034,-0.480781,0.162657,0.000000,0.000000,0.000000,0.000000,0.847720,-1.404487,2.490666,3.626226,4.712367,2.418570,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.100285,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192004,-0.480765,0.162653,0.000000,0.000000,0.000000,0.000000,0.847736,-1.404520,2.490711,3.626239,4.712403,2.418506,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.120342,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192055,-0.480796,0.162651,0.000000,0.000000,0.000000,0.000000,0.847708,-1.404447,2.490625,3.626239,4.712367,2.418583,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.140396,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192036,-0.480773,0.162657,0.000000,0.000000,0.000000,0.000000,0.847708,-1.404499,2.490674,3.626247,4.712363,2.418550,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.160451,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192018,-0.480791,0.162651,0.000000,0.000000,0.000000,0.000000,0.847745,-1.404479,2.490655,3.626275,4.712428,2.418558,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.180505,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.192022,-0.480787,0.162656,-0.192052,-0.480788,0.162661,0.000000,0.000000,0.000000,0.000000,0.847704,-1.404479,2.490638,3.626251,4.712358,2.418534,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
